grupo;Z-score Geral;Z-score_Icms;Z-score_Empresas;Z-score_Empregos;_QuocienteLocacional;_EmpresasRS;;;;
FABRICAÇÃO DE BEBIDAS ALCOÓLICAS;11.397.790.824.023.600;798.774.275.955.788;23.262.619.254.411.900;13.495.056.615.702.100;39.761.261.555.890.300;1261;;;;
SERVIÇOS COLETIVOS PRESTADOS PELA ADMINISTRAÇÃO PÚBLICA;11.129.678.765.490.800;-0.1856769318090135;-0.14768934811361054;1.116.301.539.348.310;;;;;;
ATIVIDADE DE IMPRESSÃO;10.603.968.127.212.400;-0.021781736645678854;7.017.606.083.933.040;10.765.166.703.755.600;1.357.960.181.367.210;3788;;;;
ATIVIDADES DE VIGILÂNCIA; SEGURANÇA PRIVADA E TRANSPORTE DE VALORES;1.032.893.707.169.190;-0.13023328982108745;19.568.208.935.694.600;7.361.985.198.374.250;15.228.655.888.194.100;1062;;;
ATIVIDADES CINEMATOGRÁFICAS; PRODUÇÃO DE VÍDEOS E DE PROGRAMAS DE TELEVISÃO;998.545.940.290.447;-0.17115011384445775;10.897.665.162.384.900;211.581.733.222.721;0.8984486617244756;5878;;;
FABRICAÇÃO DE ARTEFATOS TÊXTEIS; EXCETO VESTUÁRIO;9.361.808.967.180.210;0.22086104055563274;698.790.228.237.552;10.413.902.076.483.700;11.875.284.341.634.000;3772;;;
ATIVIDADES AUXILIARES DOS SEGUROS; DA PREVIDÊNCIA COMPLEMENTAR E DOS PLANOS DE SAÚDE;9.022.337.778.577.430;-0.1856767345053962;7.672.946.205.795.970;8.158.869.901.404.910;10.719.504.921.948.300;4141;;;
MOAGEM; FABRICAÇÃO DE PRODUTOS AMILÁCEOS E DE ALIMENTOS PARA ANIMAIS;8.988.550.036.022.630;46.670.011.265.968.300;22.241.551.075.872.000;46.793.642.300.977.300;17.276.158.844.126.600;1206;;;
COMÉRCIO ATACADISTA DE MÁQUINAS; APARELHOS E EQUIPAMENTOS; EXCETO DE TECNOLOGIAS DE INFORMAÇÃO E COMUNICAÇÃO;898.242.445.719.838;16.228.228.035.097.000;4.956.904.850.879.640;19.206.359.259.123.000;13.918.980.610.876.000;2678;;
EDUCAÇÃO INFANTIL E ENSINO FUNDAMENTAL;8.972.857.742.176.080;-0.1855221010867342;4.453.796.711.999.030;6.399.910.413.679.540;0.5818630050229766;2407;;;;
EDUCAÇÃO SUPERIOR;867.058.828.207.538;-0.1786601258587532;8.095.115.584.100.000;8.175.965.081.570.990;0.6330844912169826;444;;;;
FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS DE USO INDUSTRIAL ESPECÍFICO;8.532.062.750.960.470;0.5096566446391593;19.661.033.315.561.800;26.895.151.656.074.600;29.457.159.386.963.600;1067;;;;
AGÊNCIAS DE VIAGENS E OPERADORES TURÍSTICOS;8.375.197.275.335.080;-0.17681778028088097;8.614.185.417.650.090;5.307.555.180.031.150;0.9126949507321851;4648;;;;
SERVIÇOS COMBINADOS PARA APOIO A EDIFÍCIOS;8.262.517.038.576.630;-0.18558564497656616;362.765.973.118.033;7.880.642.598.642.390;0.11038328677579948;1962;;;;
FABRICAÇÃO DE ARTIGOS PARA VIAGEM E DE ARTEFATOS DIVERSOS DE COURO;8.127.063.864.495.150;-0.07264189656967635;31.821.027.078.174.300;9.455.513.402.075.260;22.591.278.076.235.600;1722;;;;
HOTÉIS E SIMILARES;8.048.544.031.601.700;-0.14076795425427452;4.860.367.495.817.680;3.141.388.920.690.570;10.125.225.943.452.300;2626;;;;
ARMAZENAMENTO; CARGA E DESCARGA;80.256.781.642.391;-0.09263813919974818;5.636.379.311.508.060;17.656.024.638.756.300;11.122.990.785.029.300;3044;;;
DEMOLIÇÃO E PREPARAÇÃO DO TERRENO;7.707.325.939.235.650;-0.1821334293302079;3.909.845.845.976.830;11.222.678.039.276.400;16.888.828.200.313.000;2114;;;;
PRODUÇÃO DE LAVOURAS TEMPORÁRIAS;7.489.896.231.595.750;0.8053007534658213;37.446.184.498.130.900;696.822.188.780.279;0.11780753482865665;2025;;;;
ATIVIDADES VETERINÁRIAS;7.329.547.217.471.470;-0.18172735093293793;4.544.764.604.268.960;2.761.970.782.394.040;15.559.712.086.480.700;2456;;;;
